UPC,Product,
0001311461636,ACE FN 5 INCH POCKET COMB,
0001311461686,ACE 5 INCH POCKET COMB,
0001311462576,ACE COMB W/TAIL,
0001311462746,ACE DRESSING COMB BLACK,
0004145700639,GOODY POCKET COMBS,
0004145701107,GOODY SUPER COMB,
0004145701279,GOODY FAMILY CMB SET #555,
0004145701457,GOODY BRN #820 BOBBY PINS,
0004145701520,GOODY BRN #824 BOBBY PINS,
0004145701538,GOODY BLK #824 BOBBY PINS,
0004145702453,GOODY WAVY BRNTT BBY PINS,
0004145703482,GOODY SMP STY MNI SPN PIN,
0004145703697,GOODY ALUM CLIPS 5990,
0004145704115,GOODY SSF TSE LIFT VOL PK,
0004145704135,GOODY OCHLS TIEBACKS,
0004145704391,GOODY WDGRN PRO STYL BRSH,
0004145704717,GOODY CLW CLP SLD PRF LRG,
0004145704728,GOODY GRLS GLTR BARTTS,
0004145706868,GOODY HAIR BRUSH,
0004145706951,GOODY OCHLS WMN ELASTIC,
0004145708548,GOODY SLD PRF CLW CLPS,
0004145708998,GOODY OVAL CUSHION BRUSH,
0004145709563,GOODY PADDLE CUSHION BRSH,
0004145709925,GOODY SOFT FRINGE ELASTIC,
0004145710907,GOODY OCHLS 4MM CHOC CK,
0004145712670,GOODY BLK PNYTL RBBR BAND,
0004145715502,GOODY CC SM BLND BOBBY PN,
0004145715503,GOODY CC SM BRWN BOBBY PN,
0004145715504,GOODY CC SM BLK BOBBY PIN,
0004145716132,GOODY WMN FOREVER ELSTCS,
0004145716706,GOODY MIXED PONYTAIL PK,
0004145716712,GOODY BLK NO MTL ELASTICS,
0004145716714,GOODY OCHLS NO MTL ELSTCS,
0004145716724,GOODY OCHLS 5MM BLCK,
0004145716998,GOODY ELSTCS NEON,
0004145717384,GOODY DENTLESS PONYTAILER,
0004145717667,GOODY MEDIUM CLAW CLIP,
0004145717858,GOODY TT SPR STRCH BLK,
0004145717869,GOODY SCRNCH CTTN ASSRTD,
0004145718004,GOODY PONYTAIL ELSTIC TIE,
0004145722622,GOODY CONTOUR CLIPS,
0004145727117,GOODY 2 SIDE SHVNG MIRROR,
0004145727847,GOODY MAKE UP MIRROR 11IN,
0004145730518,GOODY MIN BRAIDED ELASTIC,
0004145743776,GOODY OCHLS BLK ELSTCS,
0004145771288,GOODY OCHLS BLK ELASTIC,
0004145771289,GOODY OCHLS CLR ELASTIC,
0004145771292,GOODY MINI NEON ELASTIC,
0004145776091,GOODY LARGE CLAW CLIP,
0004145776739,GOODY CC BROWN BOBBY PINS,
0004145776772,GOODY CC BLK SPRKLY ELSTC,
0004145780228,GOODY LRG 2 SIDE CTRS MIR,
0004145782065,GOODY MEGA ROLLERS VP,
0004319415975,SCNI NO DMG SML BLK ELSTC,
0004319415976,SCNI NO DMG BLK MED ELSTC,
