POG,UPC,Product
8384274,1311461286,ACE ALL PURPOSE COMB BLCK
8384274,1311462576,ACE COMB W/TAIL
8384274,4145701279,GOODY FAMILY CMB SET #555
8384274,4145701520,GOODY BRN #824 BOBBY PINS
8384274,4145701538,GOODY BLK #824 BOBBY PINS
8384274,4145703697,GOODY ALUM CLIPS 5990
8384274,4145704717,GOODY CLW CLP SLD PRF LRG
8384274,4145709925,GOODY SOFT FRINGE ELASTIC
8384274,4145710907,GOODY OCHLS 4MM CHOC CK
8384274,4145712670,GOODY BLK PNYTL RBBR BAND
8384274,4145716132,GOODY WMN FOREVER ELSTCS
8384274,4145716706,GOODY MIXED PONYTAIL PK
8384274,4145716712,GOODY BLK NO MTL ELASTICS
8384274,4145716714,GOODY OCHLS NO MTL ELSTCS
8384274,4145716724,GOODY OCHLS 5MM BLCK
8384274,4145716754,GOODY STN SCRNCHS
8384274,4145716998,GOODY ELSTCS NEON
8384274,4145717384,GOODY DENTLESS PONYTAILER
8384274,4145717858,GOODY TT SPR STRCH BLK
8384274,4145717869,GOODY SCRNCH CTTN ASSRTD
8384274,4145727117,GOODY 2 SIDE SHVNG MIRROR
8384274,4145727847,GOODY MAKE UP MIRROR 11IN
8384274,4145730518,GOODY MIN BRAIDED ELASTIC
8384274,4145743776,GOODY OCHLS BLK ELSTCS
8384274,4145771289,GOODY OCHLS CLR ELASTIC
8384274,4145771291,GOODY MIN CRYSTAL ELASTIC
8384274,4145782065,GOODY MEGA ROLLERS VP
8384274,4319415975,SCNI NO DMG SML BLK ELSTC
8384274,4319415976,SCNI NO DMG BLK MED ELSTC
8384274,4319416201,SCNI MED HAIR CLIPS
8384274,4319416203,SCNI ASST COLOR SIDE COMB
8384274,4319416261,SCNI NAT WFL RFL TWISTER
8384274,4319416264,SCNI NO DMG SML BRT ELSTC
8384274,4319416267,SCNI BLK/CLR/TORT JAW CLP
8384274,4319416775,SCNI NO DMG BLK LRG ELSTC
8384274,4319416776,SCNI NO DMG BRWN LRG ELST
8384274,4319416962,SCNI MEDIUM JAW CLIP
8384274,4319416985,SCNI MINI SCRNCHIE
8384274,4319416988,SCNI SLNKY MN TWSTR SCRCH
8384274,4319416998,SCNI CONTOUR BARRETTE
8384274,4319416999,SCNI CONTOUR BARRETTE
8384274,4319417187,SCNI THICK HAIR JAW CLIP
8384274,4319417278,SCNI NO DMG 4MM BLK PNYTL
8384274,4319417673,SCNI NO DMG FLAT BLK ELTC
8384274,4319417829,SCNI NO DMG 5MM THK ELSTC
8384274,4319417843,SCNI NSG 8CM OVAL CLIP
8384274,4319417851,SCNI NSG 8.5CM GRIP BRTS
8384274,4319417902,SCNI NSG CHNKY JAW CLIP
8384274,4319420021,SCNI HEAD BAND
8384274,4319421359,SCNI INTERLOCK NTRL 12PK
8384274,4319423019,SCNI HAIR CLIP
8384274,4319425030,SCNI DENIM BARRETTES
8384274,4319432508,SCNI 4MM NYL ELSTC HR TIE
8384274,4319432509,SCNI FINE HAIR NYL ELSTCS
8384274,4319432718,SCNI 5PK JAW CLIP ASST
8384274,4319432722,SCNI VALUE PACK POLYBANDS
8384274,4319433480,CONR 4MM TXTRD ELSTC 32PK
8384274,4319433758,CONR HSRY PNYTLRS 20PK
8384274,4319436159,SCNI NSG OCTOPUS CLIP
8384274,4319436687,SCNI MINI OCTOPUS CLIP
8384274,4319437224,SCNI MED OCTOPUS CLIPS
8384274,4319437347,SCNI NSG HEADBAND
8384274,4319437758,SCUNCI OCTOPUS JAW CLIP
8384274,4319438380,SCNI WIDE HEADWRAPS
8384274,4319438701,SCNI NEW EVLTN PONYTAIL
8384274,4319439220,SCNI NSG CHUNKY JAW CLIPS
8384274,4319439533,SCNI NSG BASIC HEADWRAP
8384274,4319439704,SCNI EVO/CORE ELASTICS
8384274,4319458323,SCNI HEADWRAPS
8384274,4319458328,SCNI INTERLOCK HEADWRAPS
8384274,4319458898,SCNI EFRTLS FABRIC HDBAND
8384274,4319459189,SCNI NO DMG CRRBN ELSTCS
8384274,4319459415,SCNI NO DMG PRNT ELSTCS
8384274,4319460363,SCNI PATEL HEADWRAPS
8384274,4319491189,SCNI NARROW COMB HEADBAND
8384274,7410813385,CONR PASTEL SHOWER COMB
8384274,7410855302,CONAIR BLACK BOBBY PINS 6
8384274,7410880050,CONR TUNNEL VENT BRUSH
8384274,7410880058,CONR PRO FULL ROUND BRUSH
8384274,7410880072,CONR PRO ROUND BRUSH
8384274,7410880075,CONR PURSE SIZE BRUSH
8384274,7410893500,CONR POCKET COMB
8384274,73150977223,KISS CRBN FBR RT TL CMB
8384274,73150986166,KISS 10PCS COMB SET BLACK
8384274,73665853791,WET BRUSH CRL HAIR DTNGLR
8384274,73665859153,WET BRUSH GO GR HR DTNGLR
8384274,73665894690,WET BRUSH SHINE ENHANCER
8384274,73665894696,WET BRUSH SHOWER FLEX
8384274,73665894705,WET BRUSH SPEED DRY AS
8384274,73665894710,WET BRUSH DETANGLER ASS
8384274,73665894712,WET BRUSH HIPSTER
8384274,73665894715,WET BRUSH MINI
8384274,73665896980,WET BRUSH THK HR DETANGLR
8384274,76131802640,RVLN NYLON CUSHION BRUSH
8384274,76131802827,RVLN SIG CUSHION BRUSH
8384274,76131802828,RVLN TUNNEL VENT BRUSH
8384274,76131802832,RVLN SIG ALL PURP BRUSH
8384274,76131802933,RVLN SM PRCP ROUND BRUSH
8384274,76131805295,RVLN SURE GRIP CLIX BLACK
8384274,76131812833,RVLN SIG PADDLE BRUSH
8384274,76131812953,RVLN TRUE RD CUSH BRUSH
8384274,76131823074,RVLN TINY OCTOPUS CLIP
8384274,76131823121,RVLN COMFORT FM HEADBAND
8384274,76131823144,RVLN THRML KNIT HEADWRAPS
8384274,76131823160,RVLN LARGE PADDLE BRUSH
8384274,76131823172,RVLN IONIC ROUND BRUSH
8384274,76131823173,RVLN ALL PRPS IONIC THRML
8384274,76131823175,RVLN TITANIUM BRSH W/TAIL
8384274,76131823181,RVLN BOAR BLEND BRUSH
8384274,76131823182,RVLN SIG NYLON CSHN BRSH
8384274,76131823256,RVLN ES STYLNG ELASTICS
8384274,76180901681,EVOLVE STN WD EDG BRD BNT
8384274,76180905375,EVOLVE STYLING BRUSH
8386811,1311461636,ACE FN 5 INCH POCKET COMB
8386811,1311461686,ACE 5 INCH POCKET COMB
8386811,1311462576,ACE COMB W/TAIL
8386811,1311462746,ACE DRESSING COMB BLACK
8386811,4145700639,GOODY POCKET COMBS
8386811,4145701107,GOODY SUPER COMB
8386811,4145701279,GOODY FAMILY CMB SET #555
8386811,4145701457,GOODY BRN #820 BOBBY PINS
8386811,4145701520,GOODY BRN #824 BOBBY PINS
8386811,4145701538,GOODY BLK #824 BOBBY PINS
8386811,4145702453,GOODY WAVY BRNTT BBY PINS
8386811,4145703482,GOODY SMP STY MNI SPN PIN
8386811,4145703697,GOODY ALUM CLIPS 5990
8386811,4145704115,GOODY SSF TSE LIFT VOL PK
8386811,4145704135,GOODY OCHLS TIEBACKS
8386811,4145704391,GOODY WDGRN PRO STYL BRSH
8386811,4145704717,GOODY CLW CLP SLD PRF LRG
8386811,4145704728,GOODY GRLS GLTR BARTTS
8386811,4145706868,GOODY HAIR BRUSH
8386811,4145706951,GOODY OCHLS WMN ELASTIC
8386811,4145708548,GOODY SLD PRF CLW CLPS
8386811,4145708998,GOODY OVAL CUSHION BRUSH
8386811,4145709563,GOODY PADDLE CUSHION BRSH
8386811,4145709925,GOODY SOFT FRINGE ELASTIC
8386811,4145710907,GOODY OCHLS 4MM CHOC CK
8386811,4145712670,GOODY BLK PNYTL RBBR BAND
8386811,4145715502,GOODY CC SM BLND BOBBY PN
8386811,4145715503,GOODY CC SM BRWN BOBBY PN
8386811,4145715504,GOODY CC SM BLK BOBBY PIN
8386811,4145716132,GOODY WMN FOREVER ELSTCS
8386811,4145716706,GOODY MIXED PONYTAIL PK
8386811,4145716712,GOODY BLK NO MTL ELASTICS
8386811,4145716714,GOODY OCHLS NO MTL ELSTCS
8386811,4145716724,GOODY OCHLS 5MM BLCK
8386811,4145716998,GOODY ELSTCS NEON
8386811,4145717384,GOODY DENTLESS PONYTAILER
8386811,4145717667,GOODY MEDIUM CLAW CLIP
8386811,4145717858,GOODY TT SPR STRCH BLK
8386811,4145717869,GOODY SCRNCH CTTN ASSRTD
8386811,4145718004,GOODY PONYTAIL ELSTIC TIE
8386811,4145722622,GOODY CONTOUR CLIPS
8386811,4145727117,GOODY 2 SIDE SHVNG MIRROR
8386811,4145727847,GOODY MAKE UP MIRROR 11IN
8386811,4145730518,GOODY MIN BRAIDED ELASTIC
8386811,4145743776,GOODY OCHLS BLK ELSTCS
8386811,4145771288,GOODY OCHLS BLK ELASTIC
8386811,4145771289,GOODY OCHLS CLR ELASTIC
8386811,4145771292,GOODY MINI NEON ELASTIC
8386811,4145776091,GOODY LARGE CLAW CLIP
8386811,4145776739,GOODY CC BROWN BOBBY PINS
8386811,4145776772,GOODY CC BLK SPRKLY ELSTC
8386811,4145780228,GOODY LRG 2 SIDE CTRS MIR
8386811,4145782065,GOODY MEGA ROLLERS VP
8386811,4319415975,SCNI NO DMG SML BLK ELSTC
8386811,4319415976,SCNI NO DMG BLK MED ELSTC
8386811,4319416160,SCNI EFRTLS SIDE BARRET
8386811,4319416201,SCNI MED HAIR CLIPS
8386811,4319416203,SCNI ASST COLOR SIDE COMB
8386811,4319416219,SCUNCI STRETCH COMBS
8386811,4319416261,SCNI NAT WFL RFL TWISTER
8386811,4319416264,SCNI NO DMG SML BRT ELSTC
8386811,4319416267,SCNI BLK/CLR/TORT JAW CLP
8386811,4319416775,SCNI NO DMG BLK LRG ELSTC
8386811,4319416776,SCNI NO DMG BRWN LRG ELST
8386811,4319416962,SCNI MEDIUM JAW CLIP
8386811,4319416985,SCNI MINI SCRNCHIE
8386811,4319416988,SCNI SLNKY MN TWSTR SCRCH
8386811,4319416998,SCNI CONTOUR BARRETTE
8386811,4319416999,SCNI CONTOUR BARRETTE
8386811,4319417186,SCNI NSG 9CM JAW CLP
8386811,4319417187,SCNI THICK HAIR JAW CLIP
8386811,4319417278,SCNI NO DMG 4MM BLK PNYTL
8386811,4319417673,SCNI NO DMG FLAT BLK ELTC
8386811,4319417829,SCNI NO DMG 5MM THK ELSTC
8386811,4319417836,SCNI NSG CRWN JAW CLIP
