POG,Bay,Shelf,Position,UPC,Facings,NewChg,ProductDescription,Size,Height,Width,Peg
8384274,1,2,1,81967702496,1,NEW,KITSCH RECYCLED PLA,1 CT,10.90 in,3.25 in,R02 C03
8384274,1,2,2,84045550424,1,NEW,KITSCH DETANGLING F,1 CT,9.80 in,2.80 in,R02 C08
8384274,1,2,3,84045550422,1,NEW,KITSCH DETANGLING F,1 CT,9.80 in,2.80 in,R02 C12
8384274,1,2,4,2350802263,1,NEW,THE HAIR EDIT FINIS,1 CT,10.80 in,3.00 in,R02 C17
8384274,1,2,5,2350812743,1,NEW,THE HAIR EDIT SMOOT,1 CT,10.80 in,3.00 in,R02 C21
8384274,1,2,6,2350812822,1,NEW,THE HAIR EDIT SMOOT,1 CT,6.80 in,2.13 in,R02 C24
8384274,1,2,7,2350871320,1,NEW,THE HAIR EDIT LOTUS,1 CT,11.30 in,3.30 in,R02 C28
8384274,1,2,8,2350813361,1,NEW,THE HAIR EDIT RUNWAY RIBB,1 CT,10.40 in,7.90 in,R02 C35
8384274,1,2,9,2350871375,1,NEW,THE HAIR EDIT SOFT,1 CT,10.00 in,5.00 in,R02 C43
8384274,1,2,10,81011256621,1,NEW,KITSCH MINI CLOUD C,1 CT,6.50 in,3.50 in,R14 C02
8384274,1,2,11,81011256622,1,NEW,KITSCH RECYCLED PLS,1 CT,6.50 in,3.50 in,R14 C07
8384274,1,2,12,81011256929,1,NEW,KITSCH SMLS HR ELSTCS 8CT,1 CT,6.00 in,3.50 in,R14 C12
8384274,1,2,13,81011256890,1,NEW,KITSCH SMLS HR ELSTCS 8CT,1 CT,6.00 in,3.50 in,R14 C17
8384274,1,2,14,81011256304,1,NEW,KITSCH RUCHED SATIN,1 CT,6.50 in,4.00 in,R14 C22
8384274,1,2,15,2350813362,1,NEW,THE HAIR EDIT GILDE,1 CT,5.70 in,3.60 in,R14 C27
8384274,1,2,16,2350813122,1,NEW,THE HAIR EDIT GILDE,1 CT,5.90 in,4.20 in,R14 C31
8384274,1,2,17,2350813121,1,NEW,THE HAIR EDIT UNICO,1 CT,6.66 in,5.24 in,R14 C37
8384274,1,2,18,2350871368,1,NEW,THE HAIR EDIT COUTU,1 CT,6.66 in,5.24 in,R14 C43
8384274,1,2,19,81007711245,1,NEW,TELETIES CLASSIC JE,1 CT,5.60 in,4.90 in,R22 C03
8384274,1,2,20,81007711247,1,NEW,TELETIES CLASSIC CO,1 CT,5.60 in,4.90 in,R22 C09
8384274,1,2,21,81007711235,1,NEW,TELETIES CLASSIC TO,1 CT,5.60 in,4.90 in,R22 C15
8384274,1,2,22,81007711238,1,NEW,TELETIES CLASSIC CO,1 CT,5.60 in,4.90 in,R22 C21
8384274,1,2,23,81007711795,1,NEW,TELETIES TORTOISE FLAT RO,1 CT,5.60 in,4.90 in,R22 C27
